Catalog,CourseId,Title,Description,LongDescription,Categories,Tags,Skills
GSL Academy,f65038c8-00d6-4050-9d66-3bfca9c4a73e,"Introduction to Field Leadership – Skills, Traits, & Responsibilities","A practical, 12-chapter foundation for new foremen at GSL Electric. Learners master core responsibilities—safety, planning, quality, documentation, communication, time management, and team leadership—while applying clear, job-ready tools like look-ahead planning, job plan tracking, and effective crew coaching. The series builds confident, accountable leaders who deliver safe, predictable, high-quality results.



This section of the New Foreman Training Program is designed to introduce new foremen to the key roles, responsibilities, and skills required to excel in their position. It covers the essential duties of a foreman, including project planning and execution, safety management, quality control, team management, documentation and reporting, time management, and maintaining team morale. 



This course explored the essential skills, traits, and responsibilities required for foremen to excel in their roles. Key topics included project management, safety, quality assurance, and team leadership.





Understand the foreman's role. Foremen are pivotal in managing projects and leading teams effectively.



Prioritize safety management. Ensuring a safe work environment is a top responsibility for foremen.



Emphasize quality control. Maintaining high standards ensures project success and client satisfaction.



Foster team morale. Effective leadership involves motivating and supporting a diverse team.



Master communication skills. Clear communication with stakeholders is crucial for smooth project execution.



Embrace diversity and inclusion. Valuing and motivating a diverse team strengthens workplace dynamics.

With these skills and principles, you are well-equipped to lead your team and projects to success.","<p data-pm-slice=""1 1 []"">The <strong data-end=""656"" data-start=""583"">Introduction to Field Leadership – Skills, Traits, &amp; Responsibilities</strong> series equips new foremen with the mindset, methods, and tools to lead crews and deliver projects the GSL way. Across 12 focused chapters, participants learn how to plan and execute work using look-aheads and the Job Plan, drive a proactive safety culture aligned with <strong data-end=""947"" data-start=""926"">Zero Broken Lives</strong>, and build quality into every installation. The program strengthens day-to-day leadership—clear communication up, down, and across; wise delegation and coaching; constructive conflict resolution; and documentation that protects schedule, budget, and client satisfaction. Learners also develop strong time-management habits and eliminate common jobsite time wasters, while leveraging the right tools and technology to streamline coordination and reporting. By the end of the series, foremen can translate scope into action, align crews to measurable targets, adapt to changing conditions, and model professional standards with clients and trade partners—producing safer jobs, predictable outcomes, and pride in craftsmanship.</p>",,Communication; Quality Control; Team Morale; Prioritize,
GSL Academy,848a6ab7-85d7-4d1b-b376-3cd99f51460f,Introduction to Lean Construction - 02 What You Need to Know,Foundational knowledge about construction productivity challenges and what learners need before diving into lean principles.,"<p>Establishes the baseline knowledge required for the lean construction curriculum, covering key concepts about the state of the construction industry and its productivity challenges.</p>",Lean Fundamentals,Lean Basics; Field Leadership,
GSL Academy,065e88ae-d73d-47e6-9e07-3cfc4751f407,Lockout Tagout Procedures,"Learn the complete LOTO process from hazardous energy control through simple/complex procedures, verification, abnormal removal, and return to service.","<p>Comprehensive 7-lesson course covering all LOTO phases: hazardous energy control fundamentals, simple procedures, complex procedures, verifying de-energized, abnormal lockout removal, and return to service. 10-question final quiz.</p>",,Lockout Tagout; Safety,
GSL Academy,4fb80f28-160c-4990-9506-3d1f2ab090a2,Nevada's Employee Rights and Responsibilities - New Hire Safety Orientation,"Learn Nevada state employee rights and responsibilities as part of the new hire safety orientation, covering SCATS requirements.","<p>Presents Nevada SCATS requirements for employee rights and responsibilities. Brief, focused module for new hires.</p>",,Hazards; Safety,
GSL Academy,b8bbea1c-28ad-4428-85ed-3d2bfc0f5846,Introduction to Lean Construction,"Comprehensive introduction to lean construction principles including waste identification, pull planning, continuous improvement, and field personnel empowerment.","<p>Extensive 17-lesson course covering the full spectrum of lean construction, from productivity challenges and history through waste identification, minimization strategies, pull planning, continuous improvement, and field personnel empowerment. Numerous quizzes throughout.</p>",,Lean Construction,
GSL Academy,6cec55a4-4bfc-4a4a-a4c8-3d3e5b8302f6,Introduction to Lean Construction - 04 Construction vs. Manufacturing,Compares construction and manufacturing processes to explain why construction productivity has stagnated and how lean principles can help.,"<p>Examines fundamental differences between construction and manufacturing, including the unique nature of construction projects versus repetitive manufacturing. Covers production theories from craft to lean and identifies opportunities for improvement.</p>",Lean Fundamentals,Manufacturing Comparison; Productivity,
GSL Academy,a288ede7-7f91-4282-81f4-3d3f094f5b98,Critical Leadership Training Chapters,"Develop battle-tested leadership skills with Silver Star recipient and former Navy SEAL officer Jocko Willink. Learn Jocko’s four laws of leadership and his most critical tools for making better decisions, empowering your teams, and more.","<p data-pm-slice=""1 1 []"">This course, led by Jocko Willink, provides essential leadership principles and tools for decision-making, emphasizing accountability, teamwork, and empowerment. It draws on real-world experiences to teach practical strategies for effective leadership.</p>
<ul>
<li data-pm-slice=""1 1 []""><strong>Understand the four laws of leadership</strong>. These principles are foundational for managing teams effectively.</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Embrace extreme ownership</strong>. Taking full responsibility fosters trust and strengthens leadership.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Empower your team</strong>. Encourage independence and initiative to build confidence and collaboration.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Prioritize and execute tasks</strong>. Focus on critical issues first and adapt as new information arises.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Communicate clearly</strong>. Clear instructions and simplicity enhance team alignment and productivity.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Build trust through relationships</strong>. Foster respect and collaboration to create a strong team dynamic.</p>
</li>
<li data-pm-slice=""1 1 []"">
<p data-pm-slice=""1 1 []""><strong>Adapt to change</strong>. Flexibility and emotional intelligence are key to overcoming challenges.</p>
</li>
</ul>",,Mentor; Communication; Coaching; Field Leadership; Team Morale; Leadership; Team Leadership; Mentorship; Recognition,
GSL Academy,f24dac1c-7724-462c-be39-3f70fce42b21,Safety Data Sheets,Learn how to read and interpret Safety Data Sheets (SDS) to identify chemical hazards in the workplace.,"<p>Video-based course covering the purpose and structure of SDS, teaching workers to locate and interpret critical chemical hazard information.</p>",,Hazards; Documentation; Safety,
GSL Academy,89433a77-e3f9-44a1-aa8e-3f9fb19f6663,AI in the Workplace,"This course explains what artificial intelligence (AI) is and how it can be used thoughtfully at work. It addresses common concerns around AI use including privacy, intellectual property, and bias issues and how AI users can mitigate these concerns.","<p>This course explains what artificial intelligence (AI) is and how it can be used thoughtfully at work. It addresses common concerns around AI use including privacy, intellectual property, and bias issues and how AI users can mitigate these concerns.</p>",,Usin; Bia; rivacy; A; ntellectua; I; at; Larg; anguag; ork; roperty; Concern; odels; n; it; Artificia; ntelligence,
GSL Academy,fa7e27f8-b178-439a-aea2-3fc994b28ae6,Introduction to Lean Construction - 17 Reshaping the Industry,Concludes the Lean Construction series with a vision for how lean principles can reshape the construction industry.,<p>Closing chapter providing a forward-looking perspective on how lean principles can transform construction. Summarizes the series and inspires learners to apply lean thinking.</p>,Lean Fundamentals; Industry Transformation,Lean Adoption; Industry Change,
GSL Academy,2c5ef745-46c2-4978-99e7-42dbb8a65f97,Qualified Person - Permitted Energized Work & Required Energized Work Permit,Learn when energized electrical work is permitted under NFPA 70E and the requirements for completing an energized work permit.,"<p>Covers conditions under which energized work is allowed, who is authorized to perform it, and the required permit process. Knowledge checks on permit requirements and approach boundaries.</p>",,Qualified Person; NFPA 70E,
